Topic,Question,a,b,c,d,Correct Answer,Difficulty,Cognitive Level,Subject
Network security and encryption,Which of the following is a protocol that provides secure shell access to a remote server?,SSL,SSH,TLS,HTTPS,b,hard,applying,CN
Network security and encryption,Which of the following is a cryptographic protocol used to secure communication over the internet?,TCP/IP,SSL/TLS,HTTP,FTP,b,hard,applying,CN
Wireless and Mobile Networks,Which of the following is not a wireless network standard?,Bluetooth,Wi-Fi,ZigBee,LAN,d,easy,remembering,CN
Wireless and Mobile Networks,Which of the following is not a component of a wireless network?,Access point,Router,Wireless client,Server,d,easy,remembering,CN
Wireless and Mobile Networks,Which of the following network allows mobile devices to connect to the internet using cellular network?,Wi-Fi network,MANET network,WAN network,3G/4G network,c,medium,understanding,CN
Wireless and Mobile Networks,Which of the following is not a type of wireless network architecture?,Ad-hoc network,Infrastructure network,Cellular network,LAN network,d,easy,remembering,CN
Wireless and Mobile Networks,Which of the following is a protocol that enables wireless devices to communicate with each other by establishing a personal area network?,Bluetooth,Wi-Fi,ZigBee,GPS,a,medium,understanding,CN
Wireless and Mobile Networks,Which of the following is not a disadvantage of wireless networks?,Low speed,Interference and obstacles,Security concerns,High power consumption,d,easy,remembering,CN
Wireless and Mobile Networks,Which of the following technology is used for wireless local area network (WLAN)?,Bluetooth,GPS,IEEE 802.11,WiMax,c,medium,understanding,CN
Wireless and Mobile Networks,Which of the following network architecture is used in a mobile network?,Peer-to-Peer,Client-Server,Infrastructure,Ad-hoc,c,medium,applying,CN
Wireless and Mobile Networks,Which of the following is a technique that is used to improve wireless network coverage?,Repeater,Router,Firewall,Hub,a,medium,understanding,CN
Wireless and Mobile Networks,Which of the following is a protocol that is used for mobile communication?,GPRS,SMTP,HTTP,FTP,a,hard,analyzing,CN
Cloud computing and network virtualization,Which of the following is not a cloud service model?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Desktop as a Service (DaaS),d,easy,remembering,CN
Cloud computing and network virtualization,Which of the following is a characteristic of cloud computing?,Limited scalability,Requires local installation,Pay-per-use model,Static configuration,c,medium,understanding,CN
Cloud computing and network virtualization,Which of the following technology is used to create virtual networks on top of physical networks?,Software Defined Networking (SDN),Network Address Translation (NAT),Quality of Service (QoS),Virtual Private Network (VPN),a,medium,applying,CN
Cloud computing and network virtualization,Which of the following is not a benefit of network virtualization?,Reduced hardware costs,Improved network security,Enhanced network flexibility,Easier network management,b,medium,understanding,CN
Cloud computing and network virtualization,Which of the following is not a characteristic of cloud computing?,On-demand self-service,Location-based services,Resource pooling,Rapid elasticity,b,medium,understanding,CN
Cloud computing and network virtualization,Which of the following technology is used to enable different virtual machines to share a single physical server?,Virtualization,Clustering,Partitioning,Load Balancing,a,medium,applying,CN
Cloud computing and network virtualization,Which of the following is a cloud deployment model?,Public cloud,Local cloud,Hybrid cloud,Personal cloud,a,medium,understanding,CN
Cloud computing and network virtualization,Which of the following is a security measure that can be used to secure cloud computing?,Firewalls,Intrusion Detection Systems (IDS),Virtual Private Networks (VPN),All of the above,d,hard,analyzing,CN
Cloud computing and network virtualization,Which of the following is a cloud computing platform provided by Amazon Web Services?,Microsoft Azure,Google Cloud Platform,AWS Elastic Beanstalk,OpenStack,c,hard,analyzing,CN
Cloud computing and network virtualization,Which of the following is not a characteristic of Software Defined Networking (SDN)?,Centralized control,Separation of control and data planes,Programmability of network devices,Use of proprietary protocols,d,hard,analyzing,CN
Introduction to DBMS,Which of the following is not a type of DBMS?,Hierarchical DBMS,Network DBMS,Relational DBMS,Object-Oriented DBMS,d,easy,remembering,DBMS
Introduction to DBMS,What is the purpose of a database?,To store and manage data,To create software applications,To browse the internet,To edit images and videos,a,easy,remembering,DBMS
Introduction to DBMS,Which of the following is not a component of DBMS?,Database administrator,Database schema,Database tables,Operating system,d,medium,understanding,DBMS
Introduction to DBMS,What is a primary key?,A unique identifier for each row in a table,An attribute that can have multiple values,An attribute that can be null,An attribute that is a foreign key,a,medium,understanding,DBMS
Introduction to DBMS,What is the difference between a DBMS and a file system?,DBMS provides efficient and secure access to data,File system does not allow sharing of data,File system provides backup and recovery options,File system is not designed for handling large amounts of data,a,medium,applying,DBMS
Introduction to DBMS,What is a foreign key?,An attribute that can have multiple values,An attribute that is a primary key in another table,An attribute that can be null,An attribute that is not used as a key,b,medium,understanding,DBMS
Introduction to DBMS,What is normalization in DBMS?,The process of organizing data to minimize redundancy,The process of deleting duplicate data,The process of creating a database schema,The process of connecting to a database,a,hard,analyzing,DBMS
Introduction to DBMS,What is SQL?,A language used to manage relational databases,An operating system for managing databases,An application used to create databases,An algorithm used to store data,a,medium,understanding,DBMS
Introduction to DBMS,What is a transaction?,A sequence of database operations that are treated as a single unit of work,An attribute in a database table,The process of removing data from a database,The process of adding data to a database,a,hard,applying,DBMS
Introduction to DBMS,What is a view in DBMS?,A virtual table based on the result of a query,An attribute in a database table,An index used to speed up queries,The process of creating a database schema,a,hard,analyzing,DBMS
Relational Model and Normalization,Which of the following is not a property of a relation in a relational database?,Each row is unique,Each column has a unique name,Order of rows is important,Each cell contains atomic values,c,medium,understanding,DBMS
Relational Model and Normalization,Which normal form eliminates transitive dependencies?,1NF,2NF,3NF,BCNF,c,medium,understanding,DBMS
Relational Model and Normalization,Which of the following is used to represent relationships between tables in a relational database?,Foreign key,Primary key,Unique key,Composite key,a,easy,remembering,DBMS
Relational Model and Normalization,Which of the following is a technique used to design and improve the structure of a relational database?,Normalization,Denormalization,Data modeling,Data warehousing,a,medium,applying,DBMS
Relational Model and Normalization,Which normal form is achieved when all non-key attributes are functionally dependent on the primary key?,1NF,2NF,3NF,BCNF,c,medium,understanding,DBMS
Relational Model and Normalization,Which of the following is not a type of join in SQL?,Inner join,Outer join,Left join,Top join,d,medium,understanding,DBMS
Relational Model and Normalization,Which of the following is used to ensure referential integrity in a relational database?,Primary key,Foreign key,Composite key,Unique key,b,easy,remembering,DBMS
Relational Model and Normalization,Which of the following is a technique used to remove redundancy in a database?,Normalization,Denormalization,Data modeling,Data warehousing,a,medium,applying,DBMS
Relational Model and Normalization,Which normal form is achieved when all non-key attributes are functionally dependent on the primary key and there are no transitive dependencies?,1NF,2NF,3NF,BCNF,d,hard,analyzing,DBMS
Relational Model and Normalization,Which of the following is a property of a good database design?,Elimination of redundancy,High data density,Low data integrity,Low data consistency,a,medium,applying,DBMS
SQL and Data Definition Language (DDL),What is the full form of SQL?,Structured Query List,Structured Query Language,Standard Query List,Standard Query Language,b,easy,remembering,DBMS
SQL and Data Definition Language (DDL),What is the purpose of Data Definition Language (DDL) in SQL?,To define and modify the structure of database objects,To manipulate and retrieve data from a database,To control access to the database,To perform backup and recovery of the database,a,medium,understanding,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to create a table in SQL?,SELECT,CREATE,UPDATE,DELETE,b,medium,understanding,DBMS
SQL and Data Definition Language (DDL),What is the purpose of the PRIMARY KEY constraint in SQL?,To ensure that the values in a column are unique,To specify a default value for a column,To allow null values in a column,To define a relationship between two tables,a,hard,applying,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to alter a table in SQL?,ALTER TABLE,MODIFY TABLE,UPDATE TABLE,CHANGE TABLE,a,hard,analyzing,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to add a new column to an existing table in SQL?,ADD COLUMN,INSERT COLUMN,NEW COLUMN,CREATE COLUMN,a,medium,understanding,DBMS
SQL and Data Definition Language (DDL),What is the purpose of the FOREIGN KEY constraint in SQL?,To enforce referential integrity between tables,To ensure that the values in a column are unique,To specify a default value for a column,To allow null values in a column,a,hard,applying,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to drop a table in SQL?,DROP TABLE,DELETE TABLE,REMOVE TABLE,ERASE TABLE,a,medium,understanding,DBMS
SQL and Data Definition Language (DDL),What is the purpose of the CHECK constraint in SQL?,To ensure that the values in a column satisfy a specific condition,To specify a default value for a column,To allow null values in a column,To define a relationship between two tables,a,hard,applying,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to create an index in SQL?,CREATE INDEX,ADD INDEX,MAKE INDEX,GENERATE INDEX,a,medium,understanding,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following is not a type of SQL statement?,Data Definition Language (DDL),Data Manipulation Language (DML),Data Query Language (DQL),Data Control Language (DCL),c,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to insert new records into a table?,SELECT,UPDATE,DELETE,INSERT,d,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to retrieve data from a database?,SELECT,INSERT,UPDATE,DELETE,a,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL operator is used to join tables?,GROUP BY,ORDER BY,JOIN BY,FILTER BY,c,medium,understanding,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to change the data in a database?,SELECT,UPDATE,DELETE,INSERT,b,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to remove data from a database?,SELECT,UPDATE,DELETE,INSERT,c,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL operator is used to retrieve specific data from a table based on a certain criteria?,ORDER BY,GROUP BY,FILTER BY,WHERE,d,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following is a technique used to optimize SQL queries to execute faster?,Indexing,Normalizing,Denormalizing,Partitioning,a,hard,analyzing,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to update existing records in a table?,SELECT,UPDATE,DELETE,INSERT,b,easy,remembering,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following is not a SQL Aggregate function?,MAX(),MIN(),AVG(),UPSERT(),d,medium,understanding,DBMS
Indexing and Query Execution Plans,Which of the following is not an advantage of indexing in a database?,Faster data retrieval,Reduced disk I/O,Decreased storage requirements,Improved query performance,c,medium,understanding,DBMS
Indexing and Query Execution Plans,Which of the following is a commonly used indexing technique in relational databases?,B-tree indexing,Hash indexing,Inverted indexing,Clustered indexing,a,medium,understanding,DBMS
Indexing and Query Execution Plans,Which of the following is not a type of join used in SQL?,Inner join,Outer join,Full join,Split join,d,easy,remembering,DBMS
Indexing and Query Execution Plans,Which of the following keyword is used to sort the result set in a SQL query?,SELECT,ORDER BY,GROUP BY,WHERE,b,easy,remembering,DBMS
Indexing and Query Execution Plans,Which of the following is a technique used to optimize a SQL query for improved performance?,Indexing,Partitioning,Query caching,Query optimization,d,hard,analyzing,DBMS
Indexing and Query Execution Plans,Which of the following is a plan generated by a database system to execute a SQL query?,Query plan,Execution plan,Indexing plan,Partitioning plan,b,hard,analyzing,DBMS
Indexing and Query Execution Plans,Which of the following statement is true about the cost-based query optimizer in a database system?,It selects the best query plan based on the estimated cost of executing a query,It selects the first query plan that it finds,It selects the query plan with the highest cost,It selects the query plan with the lowest cost,a,hard,analyzing,DBMS
Indexing and Query Execution Plans,Which of the following statement is true about clustered indexing in a database?,It determines the physical order of data in a table,It is used to create a copy of an existing table,It is used to enforce referential integrity constraints,It is used to reduce disk I/O,a,medium,understanding,DBMS
Indexing and Query Execution Plans,Which of the following keyword is used to combine multiple SELECT statements into a single result set in a SQL query?,JOIN,UNION,LIKE,IN,b,medium,applying,DBMS
Indexing and Query Execution Plans,Which of the following is not a disadvantage of indexing in a database?,Increased storage requirements,Decreased write performance,Increased disk I/O,Improved query performance,d,easy,remembering,DBMS
Database Security and Authorization,Which of the following is the process of verifying that a user is who they claim to be?,Authentication,Authorization,Encryption,Decryption,a,easy,remembering,DBMS
Database Security and Authorization,Which of the following is the process of determining what level of access an authenticated user should have to a database?,Authentication,Authorization,Encryption,Decryption,b,easy,remembering,DBMS
Database Security and Authorization,Which of the following is a database security measure that is used to protect sensitive data by encoding it into an unreadable format?,Encryption,Decryption,Authentication,Authorization,a,medium,understanding,DBMS
Database Security and Authorization,Which of the following is a database security measure that allows access to data to be granted or denied based on the user's identity or role?,Authentication,Authorization,Encryption,Decryption,b,easy,remembering,DBMS
Database Security and Authorization,Which of the following is a database security measure that ensures that data is not modified or accessed by unauthorized users during a transaction?,Concurrency control,Authorization,Encryption,Decryption,a,hard,applying,DBMS
Database Security and Authorization,Which of the following is a database security measure that limits the ability of users to view and modify data only to the extent that is necessary to perform their job duties?,Least privilege,Authorization,Encryption,Decryption,a,medium,understanding,DBMS
Database Security and Authorization,Which of the following is a database security measure that audits database activity and tracks changes to data to ensure compliance with regulations and policies?,Database auditing,Authorization,Encryption,Decryption,a,hard,applying,DBMS
Database Security and Authorization,Which of the following is a database security measure that controls access to sensitive data by allowing it to be accessed only through specific applications?,Application-level security,Authorization,Encryption,Decryption,a,hard,analyzing,DBMS
Database Security and Authorization,Which of the following is a database security measure that allows data to be automatically encrypted when it is stored in a database?,Transparent data encryption,Authorization,Encryption,Decryption,a,medium,understanding,DBMS
Database Security and Authorization,Which of the following is a database security measure that ensures that data is not lost due to system failures or disasters by making backup copies of the database?,Database backup and recovery,Authorization,Encryption,Decryption,a,medium,understanding,DBMS
Transactions and Concurrency Control,Which of the following is the primary goal of concurrency control in a database?,Ensuring data consistency,Improving query performance,Reducing disk space usage,Optimizing database design,a,medium,understanding,DBMS
Transactions and Concurrency Control,What is a transaction in a database?,A single SQL statement,A collection of SQL statements,A set of tables,A database schema,b,easy,remembering,DBMS
Transactions and Concurrency Control,Which of the following is a property of a transaction in a database?,Atomicity,Concurrent execution,Partial rollback,Optimistic locking,a,medium,understanding,DBMS
Transactions and Concurrency Control,What is a deadlock in a database?,A situation where two or more transactions are waiting for each other to release locks,A situation where a transaction is waiting for another transaction to commit or rollback,A situation where a transaction has an incorrect view of the database,A situation where a transaction is aborted due to a conflict with another transaction,a,hard,applying,DBMS
Transactions and Concurrency Control,Which of the following is a technique used for concurrency control in a database?,Locking,Sorting,Indexing,Clustering,a,medium,understanding,DBMS
Transactions and Concurrency Control,Which of the following is a type of lock used for concurrency control in a database?,Shared lock,Exclusive lock,Update lock,All of the above,d,hard,analyzing,DBMS
Transactions and Concurrency Control,What is optimistic locking in a database?,A technique where a transaction acquires a lock before accessing a record,A technique where a transaction assumes that there will be no conflicts and proceeds without acquiring locks,A technique where a transaction releases locks after it has finished accessing a record,A technique where a transaction uses a timestamp to determine the order of operations,b,hard,applying,DBMS
Transactions and Concurrency Control,What is a transaction isolation level in a database?,A property that determines the level of concurrency in a database,A property that determines the level of data consistency in a database,A property that determines the level of data security in a database,A property that determines the level of database performance,a,medium,understanding,DBMS
Transactions and Concurrency Control,Which of the following is a transaction isolation level in a database?,Read uncommitted,Read committed,Repeatable read,All of the above,d,hard,analyzing,DBMS
Transactions and Concurrency Control,What is a serializable transaction isolation level in a database?,A transaction isolation level where transactions are executed sequentially,A transaction isolation level where transactions are executed concurrently,A transaction isolation level where conflicts are resolved using optimistic locking,A transaction isolation level where conflicts are resolved using pessimistic locking,a,hard,applying,DBMS
Backup Recovery and High Availability,What is the purpose of database backup?,To protect against data loss,To improve query performance,To add new features to the database,To simplify data modeling,a,easy,remembering,DBMS
Backup Recovery and High Availability,Which of the following backup types takes the longest to perform?,Full backup,Incremental backup,Differential backup,Transaction log backup,a,medium,applying,DBMS
Backup Recovery and High Availability,What is the purpose of database recovery?,To restore a database to a consistent state after a failure,To make a copy of the database for testing purposes,To delete old data from the database,To optimize database performance,a,medium,understanding,DBMS
Backup Recovery and High Availability,What is the purpose of high availability in database systems?,To minimize downtime and ensure access to data at all times,To improve database performance,To enable data analysis and reporting,To simplify database administration,a,hard,applying,DBMS
Backup Recovery and High Availability,Which of the following is a commonly used backup storage medium?,Magnetic tape,CD-ROM,USB flash drive,Hard disk drive,d,easy,remembering,DBMS
Backup Recovery and High Availability,What is the difference between a full backup and an incremental backup?,A full backup backs up all data while an incremental backup only backs up data that has changed since the last backup,A full backup only backs up data that has changed since the last backup while an incremental backup backs up all data,A full backup and an incremental backup are the same thing,A full backup is faster than an incremental backup,a,medium,understanding,DBMS
Backup Recovery and High Availability,Which of the following is an example of a disaster recovery plan?,Backing up data to a remote location,Using RAID technology to improve database performance,Using a load balancer to distribute database queries,Using an index to improve query performance,a,hard,analyzing,DBMS
Backup Recovery and High Availability,Which of the following is a common method for achieving high availability in database systems?,Database replication,Data encryption,Query optimization,Schema design,a,medium,applying,DBMS
Backup Recovery and High Availability,Which of the following is an example of a high availability technique?,Database mirroring,Data compression,Table partitioning,Query tuning,a,hard,applying,DBMS
Backup Recovery and High Availability,What is the purpose of a backup and recovery plan?,To ensure that data can be restored after a failure,To improve database performance,To simplify database administration,To enable data analysis and reporting,a,easy,remembering,DBMS
NoSQL Databases and Big Data Management,What is a NoSQL database?,A database that does not use SQL as its query language,A database that only stores data in a single table,A database that is not compatible with any programming language,A database that does not require indexing,a,medium,understanding,DBMS
NoSQL Databases and Big Data Management,What is the advantage of using a NoSQL database?,Ability to handle unstructured and semi-structured data,Higher consistency guarantees,Lower scalability,Ability to enforce schema constraints,a,hard,applying,DBMS
NoSQL Databases and Big Data Management,Which of the following is a type of NoSQL database?,Document-oriented database,Relational database,Flat-file database,Hierarchical database,a,medium,understanding,DBMS
NoSQL Databases and Big Data Management,What is CAP theorem?,A theorem that states it is impossible for a distributed system to simultaneously provide consistency availability and partition tolerance,An algorithm used for sorting data in a NoSQL database,A theorem that states a database should have a schema,An algorithm used for indexing data in a NoSQL database,a,hard,analyzing,DBMS
NoSQL Databases and Big Data Management,What is a sharding in a NoSQL database?,The process of partitioning data across multiple servers,The process of backing up data to a different server,The process of indexing data for faster query response,The process of optimizing data storage,a,hard,applying,DBMS
NoSQL Databases and Big Data Management,What is Hadoop?,An open-source software framework used for distributed storage and processing of big data,An RDBMS,An indexing algorithm used in NoSQL databases,A data visualization tool,a,medium,understanding,DBMS
NoSQL Databases and Big Data Management,What is MapReduce?,A programming model used for processing large amounts of data in a distributed system,A query language used in NoSQL databases,A schema used for organizing data in a NoSQL database,A data processing tool,a,hard,applying,DBMS
NoSQL Databases and Big Data Management,What is the difference between a traditional database and a Big Data system?,Big Data systems are designed to handle large volumes of unstructured data,Traditional databases are faster than Big Data systems,Traditional databases are better at handling real-time data,Traditional databases require less storage space,a,medium,applying,DBMS
NoSQL Databases and Big Data Management,What is Apache Cassandra?,A distributed NoSQL database management system,An SQL database management system,A data warehousing tool,An indexing algorithm used in NoSQL databases,a,hard,applying,DBMS
NoSQL Databases and Big Data Management,What is a key-value store database?,A database that stores data as key-value pairs,An SQL database that only stores keys as values,An indexing algorithm used in NoSQL databases,An SQL database that stores values as keys,a,medium,understanding,DBMS
Distributed Databases and Replication,What is a distributed database?,A database that is stored on a single computer, A database that is replicated on multiple computers, A database that is partitioned across multiple computers, A database that is only accessible through a network connection,c,medium,understanding,DBMS
Distributed Databases and Replication,What is database replication?,The process of distributing a database across multiple computers, The process of creating a copy of a database on another computer, The process of optimizing database performance, The process of securing a database against unauthorized access,b,medium,understanding,DBMS
Distributed Databases and Replication,What are the advantages of using a distributed database?,Improved availability and reliability, Reduced cost of hardware, Improved security, Increased query performance,a,hard,applying,DBMS
Distributed Databases and Replication,What is database partitioning?,The process of distributing a database across multiple computers, The process of dividing a database into smaller more manageable parts, The process of creating a copy of a database on another computer, The process of optimizing database performance,b,hard,applying,DBMS
Distributed Databases and Replication,What is database sharding?,A form of horizontal database partitioning, A form of vertical database partitioning, A process of replicating a database on multiple computers, A process of distributing a database across multiple locations,a,hard,analyzing,DBMS
Distributed Databases and Replication,What is the CAP theorem?,A principle in distributed computing, A method of data encryption, A database management system, A network protocol,a,hard,analyzing,DBMS
Distributed Databases and Replication,What is consistency in distributed databases?,Ensuring that all nodes see the same data at the same time, Ensuring that data is available when requested, Ensuring that data is not lost in the event of a failure, Ensuring that data is not corrupted,a,medium,understanding,DBMS
Distributed Databases and Replication,What is partition tolerance in the CAP theorem?,The ability of a system to function even if network partitions occur, The ability of a system to always provide consistent data, The ability of a system to handle a large number of requests, The ability of a system to recover quickly from failures,a,hard,applying,DBMS
Distributed Databases and Replication,What is the role of a coordinator in a distributed database?,To manage the replication of data across nodes, To ensure consistency of data across nodes, To handle queries from clients and route them to the appropriate nodes, To monitor the health of each node in the system,c,medium,understanding,DBMS
Distributed Databases and Replication,What is the purpose of data partitioning in a distributed database?,To improve performance and scalability, To ensure data is always consistent across all nodes, To improve security, To reduce the cost of hardware,a,hard,applying,DBMS
Introduction to OOP,What does OOP stand for?,Object-Oriented Programming,Object-Oriented Protocol,Overriding Oriented Programming,Object Output Programming,a,easy,remembering,OOPS
Introduction to OOP,Which of the following is not a fundamental concept of OOP?,Inheritance,Polymorphism,Abstraction,Relational,d,medium,understanding,OOPS
Introduction to OOP,Which of the following is not a characteristic of OOP?,Encapsulation,Polymorphism,Inheritance,Function-oriented,d,easy,remembering,OOPS
Introduction to OOP,Which of the following best describes inheritance in OOP?,It allows a class to inherit properties and behaviors of another class,It allows a class to override properties and behaviors of another class,It allows a class to encapsulate properties and behaviors of another class,It allows a class to implement properties and behaviors of another class,a,medium,understanding,OOPS
Introduction to OOP,Which of the following best describes polymorphism in OOP?,It allows a class to inherit properties and behaviors of another class,It allows a class to override properties and behaviors of another class,It allows objects of different classes to be treated as if they were objects of the same class,It allows a class to encapsulate properties and behaviors of another class,c,medium,applying,OOPS
Introduction to OOP,What is a class in OOP?,A blueprint for creating objects,A behavior of an object,A property of an object,A way of representing data,a,easy,remembering,OOPS
Introduction to OOP,What is an object in OOP?,An instance of a class,A blueprint for creating classes,A way of representing data,A behavior of an object,a,easy,remembering,OOPS
Introduction to OOP,Which of the following is a real-world example of encapsulation in OOP?,A car with its internal components hidden,A car with its internal components visible,A building with all of its internal systems visible,A building with all of its internal systems hidden,a,hard,analyzing,OOPS
Introduction to OOP,Which of the following is a real-world example of inheritance in OOP?,A sports car and a sedan car inheriting properties and behaviors from a car class,A laptop and a desktop inheriting properties and behaviors from a computer class,A book and a pen inheriting properties and behaviors from a writing instrument class,A house and a car inheriting properties and behaviors from a transportation class,a,hard,applying,OOPS
Introduction to OOP,Which of the following is a real-world example of polymorphism in OOP?,A cat and a dog inheriting properties and behaviors from an animal class,A square and a rectangle inheriting properties and behaviors from a shape class,A bike and a car inheriting properties and behaviors from a vehicle class,A teacher and a student inheriting properties and behaviors from a person class,b,hard,analyzing,OOPS
Encapsulation and Abstraction,Which of the following concepts focuses on hiding the complexity of an object and showing only essential features to the user?,Encapsulation,Abstraction,Inheritance,Polymorphism,b,medium,understanding,OOPS
Encapsulation and Abstraction,Which of the following is not a benefit of encapsulation?,Code reusability,Data hiding,Improved modularity,Easier maintenance,d,easy,remembering,OOPS
Encapsulation and Abstraction,Which of the following is not true about encapsulation?,It provides improved security,It reduces the complexity of code,It helps in achieving abstraction,It allows direct access to object's internal state,d,medium,understanding,OOPS
Encapsulation and Abstraction,Which of the following is an example of abstraction in object-oriented programming?,Instantiating an object,Implementing an interface,Declaring a variable,Using a method,d,medium,applying,OOPS
Encapsulation and Abstraction,Which of the following refers to the process of bundling data and methods into a single unit?,Encapsulation,Abstraction,Inheritance,Polymorphism,a,easy,remembering,OOPS
Encapsulation and Abstraction,Which of the following is not an access modifier in Java?,public,protected,private,static,d,medium,understanding,OOPS
Encapsulation and Abstraction,Which of the following is not an example of encapsulation in Java?,Getters and Setters,Constructors,Instance variables,Inheritance,d,medium,understanding,OOPS
Encapsulation and Abstraction,Which of the following keywords is used to implement abstraction in Java?,this,super,abstract,interface,c,medium,applying,OOPS
Encapsulation and Abstraction,Which of the following keywords is used to implement encapsulation in Java?,this,super,private,protected,c,easy,understanding,OOPS
Encapsulation and Abstraction,Which of the following is an example of encapsulation and abstraction in Java?,The use of interfaces,The use of inheritance,The use of static methods,The use of public variables,a,hard,analyzing,OOPS
Inheritance and Polymorphism,What is inheritance in object-oriented programming?,The ability to create multiple instances of a class,The process of creating a new class from an existing class,The ability of an object to take on many forms,The process of creating a new object,b,medium,understanding,OOPS
Inheritance and Polymorphism,What is the purpose of using inheritance in object-oriented programming?,To reduce code redundancy,To make the code more readable,To increase the speed of the program,To reduce the size of the program,a,medium,understanding,OOPS
Inheritance and Polymorphism,What is polymorphism in object-oriented programming?,The ability of an object to take on many forms,The process of creating a new class from an existing class,The ability to create multiple instances of a class,The process of creating a new object,a,medium,understanding,OOPS
Inheritance and Polymorphism,What is the purpose of using polymorphism in object-oriented programming?,To create more instances of a class,To reduce code redundancy,To make the code more readable,To increase the speed of the program,b,medium,understanding,OOPS
Inheritance and Polymorphism,What is method overriding in object-oriented programming?,The ability of a subclass to provide its own implementation of a method that is already defined in its superclass,The ability of a superclass to provide its own implementation of a method that is already defined in its subclass,The process of creating a new class from an existing class,The ability to create multiple instances of a class,a,hard,applying,OOPS
Inheritance and Polymorphism,What is method overloading in object-oriented programming?,The ability to create multiple instances of a class,The ability of a subclass to provide its own implementation of a method that is already defined in its superclass,The process of creating a new class from an existing class,The ability to provide multiple implementations of a method with different parameters,d,medium,understanding,OOPS
Inheritance and Polymorphism,What is the difference between method overloading and method overriding in object-oriented programming?,Method overloading is used to provide multiple implementations of a method with different parameters while method overriding is used to provide a new implementation of an existing method in a subclass,Method overriding is used to provide multiple implementations of a method with different parameters while method overloading is used to provide a new implementation of an existing method in a subclass,Method overloading and method overriding are the same thing,Method overloading is not used in object-oriented programming,a,hard,analyzing,OOPS
Inheritance and Polymorphism,What is a superclass in object-oriented programming?,A class that inherits properties and methods from another class,The parent class of an object,An object that inherits properties and methods from another object,The child class of an object,a,medium,applying,OOPS
Inheritance and Polymorphism,What is a subclass in object-oriented programming?,A class that inherits properties and methods from another class,The parent class of an object,An object that inherits properties and methods from another object,The child class of an object,d,medium,applying,OOPS
Inheritance and Polymorphism,What is the purpose of using abstract classes and interfaces in object-oriented programming?,To provide a common interface for a group of related classes,To create objects,To provide a blueprint for a class,To store data,a,hard,analyzing,OOPS
Interfaces and Abstract Classes,What is an abstract class?,A class that can be instantiated directly,An interface with no method, A class with at least one abstract method, A class with only private methods,c,medium,understanding,OOPS
Interfaces and Abstract Classes,What is the purpose of an interface in Java?,To provide a default implementation for a set of methods, To define a contract for a set of methods that a class must implement, To provide a way to declare constants in a class, To define a set of related methods that can be invoked by a class,b,medium,understanding,OOPS
Interfaces and Abstract Classes,Which of the following is true about interfaces in Java?,An interface can be used to define a concrete class, An interface can only contain abstract methods, An interface can contain both abstract and non-abstract methods, An interface cannot be implemented by a class,b,medium,understanding,OOPS
Interfaces and Abstract Classes,What is the purpose of an abstract method?,To provide a default implementation for a set of methods, To define a contract for a method that a class must implement, To provide a way to declare constants in a class, To define a set of related methods that can be invoked by a class,b,medium,understanding,OOPS
Interfaces and Abstract Classes,What is the difference between an interface and an abstract class?,An interface can only contain abstract methods while an abstract class can contain both abstract and non-abstract methods, An interface can be instantiated directly while an abstract class cannot, An abstract class can only contain abstract methods while an interface can contain both abstract and non-abstract methods, An abstract class can be implemented by a class while an interface cannot be implemented,a,medium,understanding,OOPS
Interfaces and Abstract Classes,What is the purpose of a default method in an interface?,To provide a default implementation for a method that a class must implement, To define a contract for a method that a class must implement, To provide a way to declare constants in a class, To define a set of related methods that can be invoked by a class,a,hard,applying,OOPS
Interfaces and Abstract Classes,Can an interface extend another interface?,Yes an interface can extend another interface, No an interface cannot extend another interface, Yes but only if the extended interface is also abstract, Yes but only if the extended interface does not contain any abstract methods,a,hard,analyzing,OOPS
Interfaces and Abstract Classes,Can an abstract class implement an interface?,Yes an abstract class can implement an interface, No an abstract class cannot implement an interface, Yes but only if the interface contains only non-abstract methods, Yes but only if the abstract class contains only non-abstract methods,a,hard,analyzing,OOPS
